Keyword,Country,Difficulty,Volume,CPC,Clicks,CPS,Return Rate,Parent Keyword,Last Update,SERP Features
coast,gb,42,70000,2.5,64715,NA,1.67,coast,2020-05-09 23:55:39,Sitelinks
hubspot,gb,67,63000,5,59708,NA,2.34,hubspot,2020-05-09 00:57:01,"Adwords top, Sitelinks, Top stories, Thumbnails, People also ask, Tweet box, Image pack"
Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,
and digital,gb,11,3100,0,3219,NA,1.45,and digital,2020-05-09 12:29:16,"Sitelinks, Image pack"
hub spot,gb,53,2600,7,1820,NA,1.37,hubspot,2020-05-05 05:59:21,"Adwords top, Sitelinks, Top stories, Thumbnails, People also ask, Tweet box"
online marketing,gb,70,2200,10,1370,NA,1.23,online marketing,2020-05-07 12:26:37,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnails, Adwords bottom"
digital marketer,gb,73,1500,Other,1096,NA,1.31,digital marketer,2020-05-05 15:13:56,"Sitelinks, People also ask, Top stories, Thumbnails, Adwords bottom"
coast uk,gb,21,1400,0.15,1290,NA,1.6,coast,2020-05-10 07:36:46,"Sitelinks, Image pack"
what is this,gb,39,1400,0,311,NA,1.08,what is this,2020-05-04 14:29:05,"Sitelinks, People also ask, Top stories, Thumbnails"
climb online,gb,3,1300,0,1228,NA,1.2,climb online,2020-05-04 21:52:16,"Sitelinks, Top stories, Thumbnails"
digital agency,gb,48,1300,9,1659,NA,1.42,digital marketing agency,2020-05-06 10:50:13,"Adwords top, Sitelinks, Top stories, Thumbnails, People also ask, Adwords bottom"
key digital,gb,4,1300,2,727,NA,4.14,key digital,2020-05-04 18:01:42,"Sitelinks, Top stories, Thumbnails"
company meaning,gb,55,1200,0,158,NA,1.11,مؤسسة,2020-05-08 16:52:22,"Knowledge card, People also ask, Sitelinks, Top stories, Thumbnails"
performance marketing,gb,7,1200,7,738,NA,1.41,performance marketing,2020-05-09 18:16:37,"Adwords top, Sitelinks, Featured snippet, Thumbnails, People also ask"
digital marketing strategy,gb,65,1200,9,1112,NA,1.36,digital marketing strategy,2020-05-08 20:21:50,"Featured snippet, Thumbnails, People also ask, Sitelinks, Top stories, Adwords bottom"
internet marketing,gb,70,1100,7,687,NA,1.47,internet marketing,2020-05-08 00:21:40,"Featured snippet, Thumbnails, People also ask, Sitelinks, Top stories, Adwords bottom"
